,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
1662,1758,2402835,PAYMENT,83705,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-29 17:12:03,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,281000.0,CARD,2000,279000,2000,0,12,29
1871,1987,2401557,PAYMENT,34813,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-29 13:12:40,-,188000.0,POINT,188000,0,188000,0,12,29
2910,3172,2390662,PAYMENT,67016,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-26 18:12:18,[20% 할인] 네오아카데미 후와리의 스토리가 느껴지는 라이트 노벨 일러스트 할인 쿠폰,250000.0,TRANS,200000,50000,200000,0,12,26
1873,1989,2401546,PAYMENT,45728,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-29 13:12:00,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,220000.0,PROMOTION,0,279000,0,0,12,29
2731,2968,2392816,PAYMENT,63002,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-12-27 10:12:49,[WELCOME] 디자인 3만원할인,163000.0,POINT,133000,30000,133000,0,12,27
2723,2952,2392870,PAYMENT,22022,213706,FASTCAMPUS,올인원,일러스트,네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,2022-12-27 10:12:52,-,279000.0,TRANS,279000,0,279000,0,12,27
2694,2914,2393359,PAYMENT,795,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-28 16:12:27,-,188000.0,VBANK,188000,0,188000,0,12,28
2686,2906,2393474,PAYMENT,95582,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-27 12:12:51,-,250000.0,POINT,250000,0,250000,0,12,27
2636,2847,2394044,PAYMENT,87888,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-27 14:12:25,[네오아카데미 수강생 대상] 후와리의 라이트 노벨 클래스 50% 할인 쿠폰,250000.0,CARD,125000,125000,125000,0,12,27
2635,2846,2394051,PAYMENT,51940,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-27 14:12:10,[네오아카데미 수강생 대상] 오카즈의 게임 캐릭터 클래스 50% 할인 쿠폰,220000.0,CARD,110000,110000,110000,0,12,27
2607,2811,2394352,PAYMENT,98930,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-27 15:12:18,[WELCOME] 디자인 3만원할인,228000.0,CARD,198000,30000,198000,0,12,27
2586,2789,2394540,PAYMENT,44697,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-27 16:12:45,-,500000.0,CARD,500000,0,500000,0,12,27
2510,2705,2395238,PAYMENT,51159,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-27 19:12:24,-,188000.0,VBANK,188000,0,188000,0,12,27
2507,2702,2395269,PAYMENT,54418,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-27 19:12:58,[20% 할인] 네오아카데미 후와리의 스토리가 느껴지는 라이트 노벨 일러스트 할인 쿠폰,250000.0,CARD,200000,50000,200000,0,12,27
2505,2700,2395275,PAYMENT,93753,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-27 19:12:35,[20% 할인] 네오아카데미 오카즈의 판타지 세계관 게임 캐릭터 디자인 할인 쿠폰,220000.0,CARD,176000,44000,176000,0,12,27
2496,2691,2395508,PAYMENT,43717,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-27 20:12:38,[WELCOME] 디자인 3만원할인,188000.0,CARD,158000,30000,158000,0,12,27
2475,2665,2395802,PAYMENT,3182,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-27 21:12:19,-,281000.0,CARD,281000,0,281000,0,12,27
