,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
52441,57650,2093471,PAYMENT,13669,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-29 03:08:40,[WELCOME] The Red 강의 3만원 할인,195500.0,CARD,165500,30000,165500,0,8,29
52455,57664,2093374,PAYMENT,88188,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-29 00:08:27,[WELCOME] The Red 강의 3만원 할인,195500.0,CARD,165500,30000,165500,0,8,29
52475,57684,2093175,PAYMENT,91966,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 23:08:41,[WELCOME] The Red 강의 3만원 할인,196000.0,CARD,166000,30000,166000,0,8,28
52479,57688,2093167,PAYMENT,28473,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 23:08:16,[2만원 할인쿠폰] 김영하 작가의 씀으로써 작가가 되는 글쓰기 강의 할인 쿠폰,141000.0,CARD,121000,20000,121000,0,8,28
52484,57693,2093158,PAYMENT,65230,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 23:08:42,[2만원 할인쿠폰] 김영하 작가의 씀으로써 작가가 되는 글쓰기 강의 할인 쿠폰,141000.0,CARD,121000,20000,121000,0,8,28
52488,57697,2093144,PAYMENT,87066,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 23:08:36,-,196000.0,CARD,196000,0,196000,0,8,28
52490,57699,2093140,PAYMENT,38478,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 23:08:14,[WELCOME] The Red 강의 3만원 할인,196000.0,CARD,166000,30000,166000,0,8,28
52518,57727,2093056,PAYMENT,27149,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 23:08:06,[WELCOME] The Red 강의 3만원 할인,196000.0,CARD,166000,30000,166000,0,8,28
52527,57736,2093032,PAYMENT,62021,209503,FASTCAMPUS,RED,프로그래밍,The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,2022-08-28 22:08:19,-,224000.0,POINT,224000,0,224000,0,8,28
52550,57759,2092965,PAYMENT,69064,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 22:08:26,-,196000.0,POINT,196000,0,196000,0,8,28
