,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
초격차 패키지 : 한번에 끝내는 PPT 제작/디자인,2,0,1,0,3,4,0,3,6,1,2,2,5,1,2,1,0,1,1,1,4,1,2,0,1,2,1,3,2,3,2
초격차 패키지 : 데이터 엔지니어링,2,2,1,1,9,2,11,2,8,3,3,5,7,5,6,5,1,4,3,4,10,2,4,2,4,4,5,1,5,3,9
네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2,1,1,1,1,2,1,0,4,5,2,2,3,0,3,3,3,5,2,6,0,0,0,0,2,1,1,2,19,6,2
김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터,2,3,0,0,3,0,2,0,3,1,3,1,2,0,0,3,0,0,0,1,0,1,0,0,2,0,0,1,1,0,2
올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화,2,4,1,1,8,2,4,6,5,2,12,9,20,6,5,4,1,8,10,6,20,6,8,5,5,5,6,6,8,7,11
초격차 패키지 : 9 in 1 직장인 글쓰기 필수 스킬 : 보고서부터 카피라이팅까지,2,2,0,0,3,3,5,2,6,0,2,3,10,1,0,3,0,4,3,1,1,0,1,0,1,1,1,1,3,3,2
The RED : 서미애의 미스터리 장르 소설 창작법,2,2,1,0,4,0,2,2,1,0,3,0,2,1,1,1,0,3,4,2,0,0,1,0,1,0,1,0,0,0,2
올인원 패키지 : 권오상의 금융 아카데미 - 권오상의 재무제표 분석 기초 (수강시간 제한),2,0,2,2,0,2,3,2,2,1,4,2,2,5,5,0,0,0,2,3,2,0,1,0,0,2,2,0,3,0,1
초격차 패키지 : 확실하게 끝내는 포토샵&일러스트레이터,2,0,1,0,2,1,0,0,3,0,4,1,1,0,0,0,1,1,4,1,5,2,1,0,0,1,3,2,0,2,6
초격차 패키지 : 한 번에 끝내는 퀀트(금융공학) 실무,2,3,0,3,8,6,3,6,8,1,16,5,3,3,4,4,3,8,4,4,8,3,2,2,11,2,1,2,3,9,14
사이드 프로젝트 : 10개 기술스택으로 구현하는 풀스택 서버리스 프로젝트 with React,2,0,0,0,8,8,6,2,0,1,5,0,3,1,0,0,1,0,1,2,4,2,0,0,1,0,1,0,0,1,2
초격차 패키지 : 직장인이 진짜 필요한 업무자동화 SUPER팩,2,1,0,0,6,0,4,5,2,2,3,1,1,0,1,0,1,0,0,0,3,1,2,1,2,1,1,3,0,1,2
초격차 패키지 : 한번에 끝내는 디자인 툴,2,4,1,0,4,3,2,5,6,0,7,5,2,0,1,0,0,5,0,0,1,3,2,2,2,2,7,1,0,0,9
