,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
1326,1326,2405584,PAYMENT,39331,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-12-30 09:12:36,[WELCOME] The RED 3만원할인,400000,CARD,370000,30000,370000,-,12,30
1334,1334,2405538,PAYMENT,53806,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-30 09:12:43,[WELCOME] The RED 3만원할인,150000,CARD,120000,30000,120000,-,12,30
1362,1362,2405378,PAYMENT,63606,205222,FASTCAMPUS,RED,영상/3D,The RED : 탑 아티스트가 선택한 디렉터 : 권오준이 알려주는 영상 연출의 모든 것,2022-12-30 08:12:32,-,244000,POINT,244000,-,244000,-,12,30
1368,1368,2405341,PAYMENT,72991,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-30 07:12:44,-,175000,CARD,175000,-,175000,-,12,30
1397,1397,2404828,PAYMENT,85567,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-30 01:12:06,[WELCOME] The RED 3만원할인,175000,CARD,145000,30000,145000,-,12,30
1470,1470,2404300,PAYMENT,97610,202919,FASTCAMPUS,RED,프로그래밍,The RED : 프론트엔드 개발자 김태곤,2022-12-29 23:12:01,[WELCOME] The RED 3만원할인,214000,POINT,184000,30000,184000,-,12,29
1479,1479,2404253,PAYMENT,15170,204824,FASTCAMPUS,RED,데이터 사이언스,The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱 ,2022-12-29 23:12:26,-,497000,CARD,497000,-,497000,-,12,29
1486,1486,2404231,PAYMENT,48837,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-29 23:12:27,-,339000,CARD,339000,-,339000,-,12,29
1492,1492,2404214,PAYMENT,15766,212434,FASTCAMPUS,RED,프로그래밍,The RED : 현실 세상의 TDD 실전편 : 설계 확장성을 위한 코드 개선 방법 by 이규원,2022-12-29 23:12:18,-,300000,CARD,300000,-,300000,-,12,29
1632,1632,2403436,PAYMENT,70537,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-29 20:12:52,[WELCOME] The RED 3만원할인,175000,CARD,145000,30000,145000,-,12,29
1656,1656,2403355,PAYMENT,3290,202917,FASTCAMPUS,RED,프로그래밍,The RED : 카카오페이지 기술전략이사 윤진석,2022-12-29 20:12:40,[WELCOME] The RED 3만원할인,204000,POINT,174000,30000,174000,-,12,29
1677,1677,2403258,PAYMENT,50419,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-29 19:12:57,-,339000,CARD,339000,-,339000,-,12,29
1721,1721,2403038,PAYMENT,17017,205222,FASTCAMPUS,RED,영상/3D,The RED : 탑 아티스트가 선택한 디렉터 : 권오준이 알려주는 영상 연출의 모든 것,2022-12-29 18:12:49,-,244000,CARD,244000,-,244000,-,12,29
1725,1725,2403028,PAYMENT,81046,207890,FASTCAMPUS,RED,영상/3D,The RED : 국내 최대 규모의 올인원 프로덕션 : 쟈니브로스에게 배우는 뮤직비디오 제작 바이블,2022-12-29 18:12:33,-,291000,CARD,291000,-,291000,-,12,29
1732,1732,2403003,PAYMENT,67107,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-12-29 18:12:59,-,212000,CARD,212000,-,212000,-,12,29
1749,1749,2402910,PAYMENT,23279,208098,FASTCAMPUS,RED,프로그래밍,The RED : 모든 비즈니스를 성공으로 이끄는 Product Management Essential by 김영욱,2022-12-29 18:12:12,[WELCOME] The RED 3만원할인,256000,CARD,226000,30000,226000,-,12,29
